Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Very Young White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,4,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Young White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,7,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Sub-Adult White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,11,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Adult White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,14,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Old White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,16,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Very Old White Dragon,1d4,2,9,6,60,H,2,2d6,C,B,20,6,D,O,"Flight (24), Detection (15), Fear (2), ColdBreath"
Very Young Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,5,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Young Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,9,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Sub-Adult Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,12,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Adult Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,15,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Old Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,21,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Very Old Black Dragon,1d4,2,9,7,60,H,2,2d6,C,B,24,7,D,O,"Flight (24), Detection (15), Fear (2), AcidBreath"
Very Young Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,5,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Young Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,11,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Sub-Adult Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,15,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Adult Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,18,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Old Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,23,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Very Old Green Dragon,1d4,2,9,8,60,H,2,2d6,N,B,28,8,D,O,"Flight (24), Detection (15), Fear (2), PoisonBreath"
Very Young Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,6,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Young Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,12,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Sub-Adult Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,15,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Adult Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,22,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Old Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,28,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Very Old Blue Dragon,1d4,2,9,9,60,H,2,2d6,N,B,33,9,D,O,"Flight (24), Detection (15), Fear (2), VoltBreath"
Very Young Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,7,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Young Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,13,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Sub-Adult Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,19,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Adult Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,27,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Old Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,33,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Very Old Red Dragon,1d4,2,9,10,60,H,2,2d6,C,B,40,10,D,O,"Flight (24), Detection (15), Fear (2), FireBreath"
Very Young Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,12,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
Young Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,20,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
Sub-Adult Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,40,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
Adult Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,50,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
Old Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,60,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
Very Old Gold Dragon,1d4,2,9,11,60,H,2,2d6,L,B,65,11,D,O,"Flight (24), Detection (15), Fear (2), FireBreath, PoisonBreath, Spells"
