Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Mobats,1d8,2,1,5,15,C,1,1d6,N,B,4,5,D,S4,"Flight (15), Surprise (3), Screech, SoftCrowd"
Giant Cave Crickets,1d8,4,6,1+2,-,-,1,1d3,N,B,1,1.6,D,S4,"Hopping (6), Chirping"
Cave Morays,4d4,0,1,4+3,100,-,1,1d6,N,B,2,4.9,D,S4,"Surprise (5), SlowAttacking, SoftBody"
Fomorian,1d4,3,9,13+2,45,D,1,3d6,C,H,13,13.6,D,S4,Unsurprise
Gorgimera,1,3,12,10,25,F,5,1d6,C,B,18,10,D,S4,"Flight (15), PetrifyingBreath, FireBreath"
Xorn,1d4,-2,9,7+5,40,-,2,2d6+2,N,X,15,8.5,X,M1,"Surprise (5), FireImmunity, ColdImmunity, VoltResistance, StoneVulnerable, PassStone"
Bodak,1,5,6,9+7,-,-,1,1d6,C,X,10,11.1,X,S4,"DeathGaze, MagicToHit, Mindless, ColdResistance, VoltResistance, FireResistance"
Behir,1d2,4,15,12,-,-,2,1d6,C,B,22,12,D,S4,"VoltBreath, VoltImmunity, PoisonImmunity, Swallowing, Constriction"
Marlgoyle,2d4,2,6,6,30,C,4,1d6,C,B,8,6,D,S4,"Flight (12), Surprise (5), MagicToHit"
Automaton Golem,1d6,2,6,5,-,-,1,1d8,N,B,4,5,D,S4,Fearlessness
Dracolisk,1d2,3,9,7+3,35,C,3,1d6,C,B,27,7.6,D,S4,"Flight (15), AcidBreath, PetrifyingGaze"
Pech,5d4,3,9,4,5,-,1,1d6+2,N,H,4,4,D,S4,"StoneHit, MagicResistance (25), PetrifyImmunity, StoneSpells"
Dao,1,3,9,8+2,-,-,1,2d6,C,X,9,8.6,X,S4,"Flight (15), LimitedWish, Illusion, Invisibility, GasForm, WallOfStone, PassStone, RockToMud, StoneImmunity"
Marid,1,0,9,13,-,-,1,3d6,N,X,28,13,X,S4,"Flight (15), Swimming (24), MagicResistance (25), LimitedWish, WaterImmunity, ColdResistance, FireVulnerability, Invisibility, GasForm, WallOfFog, WaterBreathing, Polymorphing"
Bar-lgura Demon,1d3,-3,9,6+4,10,D,3,1d6,C,X,15,8.1,X,S4,"MagicResistance (45), Leaping, ColdResistance, VoltResistance, FireResistance, GasResistance, Spells"
Chasme Demon,1d3,-1,6,7+2,5,B,3,1d6,C,X,13,7.6,X,S4,"Flight (21), MagicResistance (40), Droning, Spells"
Clay Golem,1,7,6,12,-,-,1,3d6,N,B,21,12,D,"SR4, M1","MagicToHit (1), MagicImmunity, Hasting"
Subterranean Lizard,1d6,5,12,6,20,O,1,1d6+2,N,B,5,6,D,M1,-
Giant Flesh Golem,1,5,9,18,-,-,1,3d6,N,B,30,12,D,S1,"MagicToHit (1), MagicImmunity"
Extra Giant Rhino Beetle,1d6,2,6,12,-,-,1,2d6,N,A,11,12,W,S2,-
Type I Demon,1d6,0,12,8,5,B,5,1d6,C,X,17,8,X,S3,"MagicResistance (50), Spells, Flight (18)"
Type II Demon,1d6,-2,6,9,10,C,3,1d6,C,X,36,9,X,S3,"MagicResistance (55), Spells"
Type III Demon,1d6,-4,6,10,15,D,5,1d6,C,X,57,10,X,S3,"MagicResistance (60), Spells"
Type IV Demon,1d6,-1,9,9,20,E,2,2d6,C,X,26,9,X,"S3, M1","MagicResistance (65), Spells, MagicToHit (1), Flight (12), HitBonus (2)"
Lacedon-Ghast,1d6,4,15,6,10,G,1,1d6+2,C,U,8,6,D,M1,"Paralysis, Stench"
Giant Snapping Turtle,1,0,3,12,-,-,1,3d6,N,B,14,12,W,"COT, M1","Swimming (12), FireResistance"
Gas Spore,1d3,9,3,1/6,-,-,1,0,N,B,2,0.2,D,M1,"Exploding (4), Infection, BlankMind"
Neo-Otyugh,1,0,6,10,-,-,3,1d6,N,B,12,12,D,"COT, M1","Unsurprise, Disease"
Lady Vampire,1,2,12,13,100,F,2,1d8+9,C,U,47,13,D,"O, S1","Flight (12), MagicToHit (1), Regeneration (3), EnergyDrain (2), Charm (-2), Spawn, GasForm, Polymorphism, Undying, RapidStrike, ExceptionalStrength, WeaponSpecialization, HitBonus (9), MagicSword"
