Name,Race,Sex
Agnes,D,F
Annika,D,F
Astrid,D,F
Betla,D,F
Bimasha,D,F
Botill,D,F
Brigid,D,F
Britta,D,F
Brynja,D,F
Carianne,D,F
Carina,D,F
Crysten,D,F
Dagmar,D,F
Dagmara,D,F
Dagna,D,F
Dagny,D,F
Dahlia,D,F
Edda,D,F
Eirny,D,F
Elizabet,D,F
Elna,D,F
Else,D,F
Elvi,D,F
Erica,D,F
Erika,D,F
Erikka,D,F
Erilyn,D,F
Erleen,D,F
Erlene,D,F
Ertha,D,F
Eryn,D,F
Erynn,D,F
Erynne,D,F
Esabell,D,F
Eslanda,D,F
Estrid,D,F
Etna,D,F
Eyre,D,F
Freya,D,F
Freyja,D,F
Gamela,D,F
Gefion,D,F
Gefjun,D,F
Gerd,D,F
Gersemi,D,F
Gulla,D,F
Halda,D,F
Hanne,D,F
Jakobina,D,F
Jennsen,D,F
Kajsa,D,F
Karalee,D,F
Karalie,D,F
Karalyn,D,F
Karlie,D,F
Khristene,D,F
Kirci,D,F
Klara,D,F
Kristin,D,F
Kristina,D,F
Kristinn,D,F
Laila,D,F
Lisana,D,F
Lise,D,F
Liv,D,F
Lynnea,D,F
Nessa,D,F
Nessarose,D,F
Norell,D,F
Nysse,D,F
Odda,D,F
Oddlaug,D,F
Oddny,D,F
Oddrun,D,F
Oddveig,D,F
Oletha,D,F
Olga,D,F
Onnika,D,F
Pernilla,D,F
Petronella,D,F
Quinnie,D,F
Rakel,D,F
Rheta,D,F
Rhetta,D,F
Rigmor,D,F
Rona,D,F
Roselen,D,F
Ruth,D,F
Signy,D,F
Sigrid,D,F
Sigrun,D,F
Silka,D,F
Smilla,D,F
Sofia,D,F
Somerild,D,F
Sunnie,D,F
Sunnild,D,F
Susannah,D,F
Svea,D,F
Synne,D,F
Synnove,D,F
Tonje,D,F
Tralloni,D,F
Uzma,D,F
Aaren,D,M
Alrik,D,M
Anker,D,M
Ansfrid,D,M
Ansgar,D,M
Anshelm,D,M
Asbjorn,D,M
Asmund,D,M
Astor,D,M
Asva,D,M
Ax,D,M
Axill,D,M
Axl,D,M
Aymer,D,M
Beorhthelm,D,M
Bertelot,D,M
Bjorn,D,M
Bode,D,M
Boden,D,M
Bodie,D,M
Bodine,D,M
Boe,D,M
Booth,D,M
Borge,D,M
Borghild,D,M
Borgny,D,M
Bori,D,M
Brage,D,M
Britt,D,M
Broder,D,M
Brynklie,D,M
Burr,D,M
Cajetan,D,M
Canute,D,M
Carson,D,M
Dag,D,M
Dagen,D,M
Dain,D,M
Daube,D,M
Denby,D,M
Ebbe,D,M
Edzard,D,M
Eggert,D,M
Eilif,D,M
Eric,D,M
Erick,D,M
Erik,D,M
Erikson,D,M
Erle,D,M
Erlend,D,M
Erwinek,D,M
Esben,D,M
Euddogwy,D,M
Eudeat,D,M
Eudel,D,M
Eudelme,D,M
Finn,D,M
Fridtjof,D,M
Gunner,D,M
Hannes,D,M
Hanson,D,M
Havard,D,M
Hendrick,D,M
Hendrixx,D,M
Jakob,D,M
Jakoby,D,M
Janson,D,M
Jensen,D,M
Jeppe,D,M
Jokith,D,M
Josef,D,M
Kaj,D,M
Kare,D,M
Kasper,D,M
Kasyn,D,M
Khristos,D,M
Klaus,D,M
Kristian,D,M
Kristoffer,D,M
Kristyan,D,M
Lars,D,M
Larsen,D,M
Larson,D,M
Lassen,D,M
Latham,D,M
Lief,D,M
Ludvigs,D,M
Lullede,D,M
Makaiden,D,M
Marten,D,M
Melton,D,M
Mimir,D,M
Nanne,D,M
Nansen,D,M
Nels,D,M
Nilsson,D,M
Olov,D,M
Olsen,D,M
Olson,D,M
Olva,D,M
Osburne,D,M
Osca,D,M
Oscar,D,M
Osmin,D,M
Oswin,D,M
Oswine,D,M
Oswinn,D,M
Oswy,D,M
Peer,D,M
Per,D,M
Quirinus,D,M
Raul,D,M
Raulin,D,M
Raum,D,M
Rorik,D,M
Rosco,D,M
Sigered,D,M
Sigurd,D,M
Soeren,D,M
Somerled,D,M
Stofn,D,M
Svein,D,M
Swaine,D,M
Syver,D,M
Tassilo,D,M
Tem,D,M
Thoralf,D,M
Toralf,D,M
Tord,D,M
Torold,D,M
Torsten,D,M
Toyah,D,M
Trallonus,D,M
Truls,D,M
Ture,D,M
Erth,D,U
Laris,D,U
Paley,D,U
Addien,E,F
Aelwen,E,F
Aelwin,E,F
Aerona,E,F
Amandeep,E,F
Amelia,E,F
Angharad,E,F
Arianda,E,F
Arwen,E,F
Ava,E,F
Awen,E,F
Bethan,E,F
Betrys,E,F
Bleuzen,E,F
Blodwyn,E,F
Boudica,E,F
Branwen,E,F
Breckyn,E,F
Briallen,E,F
Brin,E,F
Bronwen,E,F
Bronwyn,E,F
Brynna,E,F
Cadi,E,F
Cadie,E,F
Caraf,E,F
Cassadee,E,F
Cassady,E,F
Catreena,E,F
Ceinwen,E,F
Ceiridwen,E,F
Ceredwyn,E,F
Ceri,E,F
Ceridwen,E,F
Cerie,E,F
Ceris,E,F
Cerys,E,F
Cheryl,E,F
Cheryle,E,F
Crystin,E,F
Delia,E,F
Delyth,E,F
Dil,E,F
Dillyn,E,F
Dilwyn,E,F
Dilys,E,F
Dwynwen,E,F
