Trait,Value
Accessible,Positive
Active,Positive
Adaptable,Positive
Admirable,Positive
Adventurous,Positive
Agreeable,Positive
Alert,Positive
Allocentric,Positive
Amiable,Positive
Anticipative,Positive
Appreciative,Positive
Articulate,Positive
Aspiring,Positive
Athletic,Positive
Attractive,Positive
Balanced,Positive
Benevolent,Positive
Brilliant,Positive
Calm,Positive
Capable,Positive
Captivating,Positive
Caring,Positive
Challenging,Positive
Charismatic,Positive
Charming,Positive
Cheerful,Positive
Clean,Positive
Clear-headed,Positive
Clever,Positive
Colorful,Positive
Companionly,Positive
Compassionate,Positive
Conciliatory,Positive
Confident,Positive
Conscientious,Positive
Considerate,Positive
Constant,Positive
Contemplative,Positive
Cooperative,Positive
Courageous,Positive
Courteous,Positive
Creative,Positive
Cultured,Positive
Curious,Positive
Daring,Positive
Debonair,Positive
Decent,Positive
Decisive,Positive
Dedicated,Positive
Deep,Positive
Dignified,Positive
Directed,Positive
Disciplined,Positive
Discreet,Positive
Dramatic,Positive
Dutiful,Positive
Dynamic,Positive
Earnest,Positive
Ebullient,Positive
Educated,Positive
Efficient,Positive
Elegant,Positive
Eloquent,Positive
Empathetic,Positive
Energetic,Positive
Enthusiastic,Positive
Esthetic,Positive
Exciting,Positive
Extraordinary,Positive
Fair,Positive
Faithful,Positive
Farsighted,Positive
Felicific,Positive
Firm,Positive
Flexible,Positive
Focused,Positive
Forceful,Positive
Forgiving,Positive
Forthright,Positive
Freethinking,Positive
Friendly,Positive
Fun-loving,Positive
Gallant,Positive
Generous,Positive
Gentle,Positive
Genuine,Positive
Good-natured,Positive
Gracious,Positive
Hardworking,Positive
Healthy,Positive
Hearty,Positive
Helpful,Positive
Heroic,Positive
High-minded,Positive
Honest,Positive
Honorable,Positive
Humble,Positive
Humorous,Positive
Idealistic,Positive
Imaginative,Positive
Impressive,Positive
Incisive,Positive
Incorruptible,Positive
Independent,Positive
Individualistic,Positive
Innovative,Positive
Inoffensive,Positive
Insightful,Positive
Insouciant,Positive
Intelligent,Positive
Intuitive,Positive
Invulnerable,Positive
Kind,Positive
Knowledge,Positive
Leaderly,Positive
Leisurely,Positive
Liberal,Positive
Logical,Positive
Lovable,Positive
Loyal,Positive
Lyrical,Positive
Magnanimous,Positive
Many-sided,Positive
Masculine,Positive
Mature,Positive
Methodical,Positive
Meticulous,Positive
Moderate,Positive
Modest,Positive
Multi-leveled,Positive
Neat,Positive
Nonauthoritarian,Positive
Objective,Positive
Observant,Positive
Open,Positive
Optimistic,Positive
Orderly,Positive
Organized,Positive
Original,Positive
Painstaking,Positive
Passionate,Positive
Patient,Positive
Patriotic,Positive
Peaceful,Positive
Perceptive,Positive
Perfectionist,Positive
Personable,Positive
Persuasive,Positive
Planful,Positive
Playful,Positive
Polished,Positive
Popular,Positive
Practical,Positive
Precise,Positive
Principled,Positive
Profound,Positive
Protean,Positive
Protective,Positive
Providential,Positive
Prudent,Positive
Punctual,Positive
Purposeful,Positive
Rational,Positive
Realistic,Positive
Reflective,Positive
Relaxed,Positive
Reliable,Positive
Resourceful,Positive
Respectful,Positive
Responsible,Positive
Responsive,Positive
Reverential,Positive
Romantic,Positive
Rustic,Positive
Sage,Positive
Sane,Positive
Scholarly,Positive
Scrupulous,Positive
Secure,Positive
Selfless,Positive
Self-critical,Positive
Self-defacing,Positive
Self-denying,Positive
Self-reliant,Positive
Self-sufficient,Positive
Sensitive,Positive
Sentimental,Positive
Seraphic,Positive
Serious,Positive
Sexy,Positive
Sharing,Positive
Shrewd,Positive
Simple,Positive
Skillful,Positive
Sober,Positive
Sociable,Positive
Solid,Positive
Sophisticated,Positive
Spontaneous,Positive
Sporting,Positive
Stable,Positive
Steadfast,Positive
Steady,Positive
Stoic,Positive
Strong,Positive
Studious,Positive
Suave,Positive
Subtle,Positive
Sweet,Positive
Sympathetic,Positive
Systematic,Positive
Tasteful,Positive
Teacherly,Positive
Thorough,Positive
Tidy,Positive
Tolerant,Positive
Tractable,Positive
Trusting,Positive
Uncomplaining,Positive
Understanding,Positive
Undogmatic,Positive
Unfoolable,Positive
Upright,Positive
Urbane,Positive
Venturesome,Positive
Vivacious,Positive
Warm,Positive
Well-bred,Positive
Well-read,Positive
Well-rounded,Positive
Winning,Positive
Wise,Positive
Witty,Positive
Youthful,Positive
Absentminded,Neutral
Aggressive,Neutral
Ambitious,Neutral
Amusing,Neutral
Artful,Neutral
Ascetic,Neutral
Authoritarian,Neutral
Big-thinking,Neutral
Boyish,Neutral
Breezy,Neutral
Businesslike,Neutral
Busy,Neutral
Casual,Neutral
Cerebral,Neutral
Chummy,Neutral
Circumspect,Neutral
Competitive,Neutral
Complex,Neutral
Confidential,Neutral
Conservative,Neutral
Contradictory,Neutral
Crisp,Neutral
Cute,Neutral
Deceptive,Neutral
Determined,Neutral
Dominating,Neutral
Dreamy,Neutral
Driving,Neutral
Droll,Neutral
Dry,Neutral
Earthy,Neutral
Effeminate,Neutral
Emotional,Neutral
Enigmatic,Neutral
Experimental,Neutral
Familial,Neutral
Folksy,Neutral
Formal,Neutral
Freewheeling,Neutral
Frugal,Neutral
Glamorous,Neutral
Guileless,Neutral
High-spirited,Neutral
Hurried,Neutral
Hypnotic,Neutral
Iconoclastic,Neutral
Idiosyncratic,Neutral
Impassive,Neutral
Impersonal,Neutral
Impressionable,Neutral
Intense,Neutral
Invisible,Neutral
Irreligious,Neutral
Irreverent,Neutral
Maternal,Neutral
Mellow,Neutral
Modern,Neutral
Moralistic,Neutral
Mystical,Neutral
Neutral,Neutral
Noncommittal,Neutral
Noncompetitive,Neutral
Obedient,Neutral
Old-fashioned,Neutral
Ordinary,Neutral
Outspoken,Neutral
Paternalistic,Neutral
Physical,Neutral
Placid,Neutral
Political,Neutral
Predictable,Neutral
Preoccupied,Neutral
Private,Neutral
Progressive,Neutral
Proud,Neutral
Pure,Neutral
Questioning,Neutral
Quiet,Neutral
Religious,Neutral
Reserved,Neutral
Restrained,Neutral
Retiring,Neutral
Sarcastic,Neutral
Self-conscious,Neutral
Sensual,Neutral
Skeptical,Neutral
Smooth,Neutral
Soft,Neutral
Solemn,Neutral
Solitary,Neutral
Stern,Neutral
Stolid,Neutral
Strict,Neutral
Stubborn,Neutral
Stylish,Neutral
Subjective,Neutral
Surprising,Neutral
Soft,Neutral
Tough,Neutral
Unaggressive,Neutral
Unambitious,Neutral
Unceremonious,Neutral
Unchanging,Neutral
Undemanding,Neutral
Unfathomable,Neutral
Unhurried,Neutral
Uninhibited,Neutral
Unpatriotic,Neutral
Unpredictable,Neutral
Unreligious,Neutral
Unsentimental,Neutral
Whimsical,Neutral
Abrasive,Negative
Abrupt,Negative
Agonizing,Negative
Aimless,Negative
Airy,Negative
Aloof,Negative
Amoral,Negative
Angry,Negative
Anxious,Negative
Apathetic,Negative
Arbitrary,Negative
Argumentative,Negative
Arrogant,Negative
Artificial,Negative
Asocial,Negative
Assertive,Negative
Astigmatic,Negative
Barbaric,Negative
Bewildered,Negative
Bizarre,Negative
Bland,Negative
Blunt,Negative
Boisterous,Negative
Brittle,Negative
Brutal,Negative
Calculating,Negative
Callous,Negative
Cantankerous,Negative
Careless,Negative
Cautious,Negative
Charmless,Negative
Childish,Negative
Clumsy,Negative
Coarse,Negative
Cold,Negative
Colorless,Negative
Complacent,Negative
Complaintive,Negative
Compulsive,Negative
Conceited,Negative
Condemnatory,Negative
Conformist,Negative
Confused,Negative
Contemptible,Negative
Conventional,Negative
Cowardly,Negative
Crafty,Negative
Crass,Negative
Crazy,Negative
Criminal,Negative
Critical,Negative
Crude,Negative
Cruel,Negative
Cynical,Negative
Decadent,Negative
Deceitful,Negative
Delicate,Negative
Demanding,Negative
Dependent,Negative
Desperate,Negative
Destructive,Negative
Devious,Negative
Difficult,Negative
